year,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Location 1,Premise,Total Incidents
2016,12/10/16,0:06:00,3NF,100 W NORTH AVE,ROBBERY - STREET,I,FIREARM,141,CENTRAL,Charles North,"(39.3111300000, -76.6182200000)",HOTEL/MOTEL,1
2016,12/10/16,5:55:00,3AF,200 DIENER PL,ROBBERY - STREET,O,FIREARM,843,SOUTHWESTERN,Irvington,"(39.2830400000, -76.6876100000)",STREET,1
2016,12/10/16,9:45:00,3AK,1100 PARK AVE,ROBBERY - STREET,O,KNIFE,132,CENTRAL,Bolton Hill,"(39.3048200000, -76.6211300000)",STREET,1
2016,12/10/16,11:31:00,3D,200 N HIGHLAND AVE,ROBBERY - COMMERCIAL,I,,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2951100000, -76.5696200000)",SPECIALTY STORE,1
2016,12/10/16,17:45:00,3AF,1200 W PRATT ST,ROBBERY - STREET,O,FIREARM,931,SOUTHERN,Hollins Market,"(39.2856700000, -76.6366700000)",STREET,1
2016,12/10/16,18:35:00,3P,CHARLES ST & E 20TH ST,ROBBERY - STREET,O,,141,NORTHERN,Charles North,"(39.3122200000, -76.6166400000)",PARKING LOT-OUTSIDE,1
2016,12/10/16,20:15:00,3B,,ROBBERY - STREET,O,,243,SOUTHEASTERN,,,STREET,1
2016,12/10/16,22:00:00,3AF,2300 BRYANT AVE,ROBBERY - STREET,O,FIREARM,732,WESTERN,Parkview/Woodbrook,"(39.3169400000, -76.6486100000)",STREET,1
2016,12/9/16,15:00:00,3JK,1100 BOLTON ST,ROBBERY - RESIDENCE,I,KNIFE,132,CENTRAL,Madison Park,"(39.3034300000, -76.6226500000)",ROW/TOWNHOUSE-OCC,1
2016,12/9/16,17:40:00,3CO,3400 ANNAPOLIS RD,ROBBERY - COMMERCIAL,I,OTHER,922,SOUTHERN,Cherry Hill,"(39.2484200000, -76.6399600000)",OTHER - INSIDE,1
2016,12/9/16,18:02:00,3B,200 LAURENS ST,ROBBERY - STREET,O,,132,CENTRAL,Bolton Hill,"(39.3099000000, -76.6280900000)",STREET,1
2016,12/9/16,18:04:00,3K,500 DENISON ST,ROBBERY - RESIDENCE,I,,843,SOUTHWESTERN,Lower Edmondson Village,"(39.2928800000, -76.6740300000)",OTHER/RESIDENTIAL,1
2016,12/9/16,18:35:00,3D,2400 LIBERTY HEIGHTS AVE,ROBBERY - COMMERCIAL,I,,731,WESTERN,Mondawmin,"(39.3186800000, -76.6539900000)",CARRY OUT,1
2016,12/9/16,19:30:00,3JF,1100 WASHINGTON BLVD,ROBBERY - RESIDENCE,I,FIREARM,932,SOUTHERN,Washington Village/Pigtown,"(39.2828800000, -76.6326000000)",ROW/TOWNHOUSE-OCC,1
2016,12/8/16,2:10:00,3AO,2900 CARVER RD,ROBBERY - STREET,O,OTHER,922,SOUTHERN,Cherry Hill,"(39.2465700000, -76.6251400000)",STREET,1
2016,12/8/16,2:41:00,3JF,700 E 41ST ST,ROBBERY - RESIDENCE,I,FIREARM,542,NORTHERN,Pen Lucy,"(39.3396800000, -76.6060900000)",ROW/TOWNHOUSE-OCC,1
2016,12/8/16,5:41:00,3CF,3200 WASHINGTON BLVD,ROBBERY - COMMERCIAL,I,FIREARM,831,SOUTHWESTERN,Morrell Park,"(39.2575900000, -76.6637100000)",CONVENIENCE STORE,1
2016,12/8/16,8:20:00,3B,400 VENABLE AVE,ROBBERY - STREET,O,,512,NORTHERN,Oakenshawe,"(39.3292200000, -76.6100900000)",ALLEY,1
2016,12/8/16,12:26:00,3AJF,800 W PRATT ST,ROBBERY - CARJACKING,O,FIREARM,932,SOUTHERN,Washington Village/Pigtown,"(39.2859000000, -76.6303400000)",STREET,1
2016,12/8/16,15:00:00,3BJ,1800 EUTAW PL,ROBBERY - CARJACKING,O,,132,CENTRAL,Madison Park,"(39.3078200000, -76.6311500000)",STREET,1
2016,12/8/16,15:35:00,3B,1700 LAKESIDE AVE,ROBBERY - STREET,O,,412,NORTHEASTERN,Ednor Gardens-Lakeside,"(39.3293000000, -76.5905400000)",STREET,1
