Downtown,227
Frankford,84
Belair-Edison,70
Patterson Park Neighborhood,68
Brooklyn,65
Charles North,64
Ednor Gardens-Lakeside,58
Fells Point,54
Mid-Town Belvedere,51
Central Park Heights,49
McElderry Park,47
Upton,47
Washington Village/Pigtown,46
Canton,44
Mount Vernon,44
Baltimore Highlands,42
Bolton Hill,42
Charles Village,40
Ellwood Park/Monument,40
Hollins Market,40
Hamilton Hills,37
Madison Park,37
Coldstream Homestead Montebello,36
Broadway East,33
East Baltimore Midway,33
Jonestown,33
Sandtown-Winchester,33
Washington Hill,33
Cherry Hill,32
Inner Harbor,31
Federal Hill,30
Lakeland,30
Butcher's Hill,29
Glenham-Belhar,29
Dunbar-Broadway,28
Highlandtown,28
Mondawmin,28
Oliver,27
Patterson Place,27
Barclay,26
Upper Fells Point,25
CARE,24
Carrollton Ridge,24
Reisterstown Station,24
Waverly,24
Druid Heights,23
Penn North,23
Reservoir Hill,22
Seton Hill,22
(blank),22
Glen,21
Glen Oaks,21
Woodmere,21
Clifton Park,20
Gay Street,20
Harlem Park,20
Penrose/Fayette Street Outreach,20
Better Waverly,19
Franklin Square,18
Hampden,18
Poppleton,18
Riverside,18
Greenmount West,17
Hopkins Bayview,17
Johnston Square,17
New Northwood,16
Old Goucher,16
Curtis Bay,15
Gwynns Falls,15
Harwood,15
Loch Raven,15
Oldtown,15
Westfield,15
Abell,14
Bayview,14
Greektown,14
Howard Park,14
Middle East,14
University Of Maryland,14
Downtown West,13
Graceland Park,13
Midtown-Edmondson,13
New Southwest/Mount Clare,13
Park Circle,13
Union Square,13
Waltherson,13
Millhill,12
North Harford Road,12
Patterson Park,12
Perkins Homes,12
Pulaski Industrial Area,12
Berea,11
Carroll - Camden Industrial Area,11
Coppin Heights/Ash-Co-East,11
Guilford,11
Lauraville,11
Little Italy,11
Penn-Fallsway,11
Coldspring,10
Cross Country,10
Fallstaff,10
Hanlon-Longwood,10
Heritage Crossing,10
Homeland,10
Morrell Park,10
Otterbein,10
Ridgely's Delight,10
Shipley Hill,10
South Baltimore,10
Arlington,9
Carroll-South Hilton,9
Dolfield,9
East Arlington,9
Greenspring,9
Grove Park,9
Hillen,9
Hunting Ridge,9
Irvington,9
Liberty Square,9
Madison-Eastend,9
Middle Branch/Reedbird Parks,9
Parkside,9
Remington,9
West Arlington,9
Westport,9
Bridgeview/Greenlawn,8
Cylburn,8
Easterwood,8
Rosemont,8
South Clifton Park,8
Allendale,7
Cameron Village,7
Cedmont,7
Franklintown Road,7
Levindale,7
Morgan State University,7
Mount Holly,7
Oakenshawe,7
Pimlico Good Neighbors,7
Pleasant View Gardens,7
Roland Park,7
Saint Josephs,7
Sharp-Leadenhall,7
Walbrook,7
West Forest Park,7
Beechfield,6
Broening Manor,6
Callaway-Garrison,6
Forest Park,6
Four By Four,6
Garwyn Oaks,6
Kresson,6
Mayfield,6
Montebello,6
Mount Washington,6
O'Donnell Heights,6
Parklane,6
Parkview/Woodbrook,6
Ramblewood,6
Rosemont East,6
Rosemont Homeowners/Tenants,6
West Hills,6
Westgate,6
Yale Heights,6
Ashburton,5
Brewers Hill,5
Central Forest Park,5
Chinquapin Park,5
Edmondson Village,5
Evergreen Lawn,5
Fairfield Area,5
Kenilworth Park,5
Kernewood,5
Lake Evesham,5
Langston Hughes,5
Lucille Park,5
Mid-Govans,5
Milton-Montford,5
Mosher,5
Panway/Braddish Avenue,5
Winchester,5
Armistead Gardens,4
Barre Circle,4
Belvedere,4
Biddle Street,4
Burleith-Leighton,4
Canton Industrial Area,4
Cross Keys,4
Dorchester,4
Edgewood,4
Fairmont,4
Lower Herring Run Park,4
Medfield,4
Medford,4
Oaklee,4
Pen Lucy,4
Perring Loch,4
Rosebank,4
Uplands,4
Wakefield,4
Windsor Hills,4
Woodberry,4
Woodbourne Heights,4
Arcadia,3
Beverly Hills,3
Cedonia,3
Concerned Citizens Of Forest Park,3
Darley Park,3
Jones Falls Area,3
Lake Walker,3
Locust Point Industrial Area,3
Northwest Community Action,3
Orangeville,3
Stonewood-Pentwood-Winston,3
Towanda-Grantley,3
Tremont,3
Tuscany-Canterbury,3
Violetville,3
Woodbourne-McCabe,3
Belair-Parkside,2
Boyd-Booth,2
Carroll Park,2
Franklintown,2
Herring Run Park,2
Hoes Heights,2
Johns Hopkins Homewood,2
Loyola/Notre Dame,2
Orangeville Industrial Area,2
Original Northwood,2
Overlea,2
Radnor-Winston,2
Rognel Heights,2
Saint Helena,2
Seton Business Park,2
Stadium Area,2
Wilhelm Park,2
York-Homeland,2
Bellona-Gittings,1
Cedarcroft,1
Cheswolde,1
Forest Park Golf Course,1
Gwynns Falls/Leakin Park,1
Locust Point,1
Mount Winans,1
Orchard Ridge,1
Richnor Springs,1
Saint Agnes,1
Ten Hills,1
Wilson Park,1
Winston-Govans,1
Wyman Park,1
